GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Connect 4 Game,org.example,Connect4Main,519,301,68,48,129,43,48,18,5,3
Connect 4 Game,org.example,Jatekos,56,22,10,0,9,6,9,3,4,3
